#,name,domain,summary,country,organization_size,summary_keywords
75,Konrad Mathieu IT-Consulting GmbH,km-it.de,"km-it is a specialized software development and hardware integration company that applies the pragmatism of the Unix/Linux world and the spirit of the Open Source movement to modern enterprise applications. They develop cloud-based products for diverse sectors including hotel booking, fitness club management, procurement, HR, ticketing, and parking management. Their well-known 'sparkle-framework' is a comprehensive system for wellness hotels and thermal baths in the DACH region. The sister company, km-sys, focuses on data security and privacy consulting for the hospitality and leisure sectors.",Germany,Small (10-49),"software development, hardware integration, Unix/Linux, Open Source, enterprise applications, cloud-based, sparkle-framework, hospitality software, data security, IT consulting"
76,唐山乐晓软件科技有限责任公司,lexiaokeji.cn,"Tangshan Lexiao Software Technology Co., Ltd. is a technology company focused on software development and operation. Their mission is to bring more happiness to users through their software. The company specializes in software development and design.",China,Micro (0-9),"software development, software operation, technology company, digital solutions, application development, user experience, innovation, software design, tech services, happiness through software"
77,苏州怡天电子科技有限公司,eskysz.com,"Suzhou Yitian Electronics Technology Co., Ltd. is a professional software supplier established in 2000. As a long-term strategic partner in China for major software vendors like Autodesk, Zemax, ANSYS, PTC, Microsoft, Symantec, Adobe, and Oracle, the company provides software solutions, professional design consulting, and services to tens of thousands of clients. They offer specialized software suites for manufacturing, engineering, and construction, alongside individual professional tools.",China,Small (10-49),"software supplier, Autodesk partner, Zemax, ANSYS, Microsoft, Adobe, Oracle, software solutions, design consulting, manufacturing software"
78,Beyond Srl,beyondsrl.it,"Beyond Srl is an IT solutions provider specializing in the production of high-tech software for public and private entities. Their services encompass software development, data processing, IT consulting, network design, and training, with a focus on web-based technologies and continuous research and development. The company aims to deliver innovative and customized software solutions to meet specific client needs.",Italy,Small (10-49),"software production, IT solutions, web technologies, data processing, IT consulting, network design, research and development, public sector software, private sector software, tech company"
79,Nephilim Sp. z o.o.,nephilim.software,"Nephilim is a software house founded by experienced developers, acting as a technological partner for its clients. They specialize in designing and developing high-quality software products, including mobile apps, web applications (frontend and backend), and desktop applications. Their services aim to help clients maximize income and minimize investment risk by solving technical problems and prioritizing product features.",Poland,Small (10-49),"software development, technological partner, mobile apps, web applications, desktop apps, software design, product development, cloud infrastructure, iOS, Android"
80,Earthlight Research Inc.,earthlight.com,"Earthlight Research Inc. is a software consulting and application development firm established in 2002, serving the Silicon Valley. They offer services in high-performance back-end computing, embedded software, networking R&D support, and mobile app development. The company also conducts its own research and development in aviation and navigation software.",Australia,Micro (0-9),"software consulting, application development, back-end computing, embedded software, mobile apps, R&D, aviation software, navigation software, Silicon Valley, tech services"
81,SCS Software by Stocker,scs-software.ch,"SCS Software, founded in 1979, specialized in developing customized and intuitive software solutions for businesses to simplify workflows. Their product portfolio included so.exact, so.quick, so.simple, and best.value. The company ceased operations on July 31, 2025, but license holders can still access the download area for the last program versions.",Switzerland,Micro (0-9),"software development, business solutions, custom software, workflow simplification, SAP Business One, Windows software, legacy software, company closure, software licensing, enterprise software"
82,CCE Software,ccesoft.com,"CCE Software provides dedicated software centers and teams, supporting Fortune 500 engineering companies for over 21 years. They also offer US-FDA compliant software solutions for the pharmaceutical industry, focusing on affordability, ease of use, and customization. Their services aim to optimize alignment of people, processes, and technology for business results, with a global presence and extensive experience.",United States,Medium-sized (50-249),"software development, dedicated teams, pharmaceutical software, US-FDA compliance, mobility solutions, remote work, offshore development, custom software, engineering software, technology partner"
83,RGB Code Ltd,rgbcode.net,"RGB Code Ltd is a software development company with extensive experience dating back to 1987. The company's members have contributed to projects for major industry players such as Rockstar Games, Electronic Arts, Microsoft, and Sony. They specialize in computer software development, leveraging decades of expertise to deliver high-quality solutions.",United Kingdom,Micro (0-9),"software development, computer software, game development, technology, digital solutions, programming, consulting, aerospace software, entertainment software, enterprise software"
84,Beensoft,beensoft.nl,"Beensoft is a technology partner specializing in the development of custom software solutions for desktop, web, and mobile platforms. They offer services ranging from e-commerce and custom applications to mobile app development and integrated solutions, aiming to improve business efficiency and provide a high return on investment. The company focuses on delivering high-quality, tailored software that adapts to evolving business processes and market changes.",Netherlands,Small (10-49),"software development, desktop applications, web applications, mobile apps, custom software, technology partner, ROI, business solutions, software integration, IT services"
85,Pixinn,pixinn.lt,"Pixinn is a company specializing in the development of custom software solutions, including mobile applications and information systems. They focus on automating business operations, improving productivity, and enhancing customer engagement through tailored digital platforms. The company emphasizes reliability, transparency, security, and flexibility in its project execution.",Lithuania,Micro (0-9),"software development, mobile applications, information systems, business automation, productivity tools, CRM, platform development, digital solutions, tech consulting, software engineering"
86,qazws.tech,qazws.tech,"qazws.tech aims to help businesses grow by connecting them with software vendors and solutions. The platform allows users to discover new software producers, browse software categories, and find the best solutions for their projects. It acts as a marketplace or directory for software and technology providers.",Kazakhstan,Micro (0-9),"software vendors, software solutions, business growth, technology marketplace, project support, software discovery, IT solutions, vendor directory, software procurement, business tools"
87,Phoenix Invicta Inc.,phoenix-invicta.com,"Phoenix Invicta is a product company founded in 2022, specializing in the full-circle production of desktop and mobile solutions for English-speaking users globally. They focus on development, design, marketing, sales, and support, driven by a passion for perfection and a user-experience-first approach. The company aims to create industry-leading products through continuous evolution and effective project management.",United States,Small (10-49),"software development, product company, mobile apps, desktop software, user experience, full-cycle production, design, marketing, sales, support"
88,Codevo,codevo.com.tr,"Codevo is a software development and consultancy firm specializing in enterprise-level software projects. They offer architecture and design services to create reliable, scalable, and high-tech products. Additionally, they provide high-level software engineering, development, and consultancy services, leveraging cutting-edge technologies and real-life experience to help clients overcome business challenges and optimize processes cost-effectively.",Turkey,Small (10-49),"software development, architecture, design, consultancy, enterprise software, high-tech products, software engineering, business process optimization, scalability, reliability"
89,Indsoft Software Technologies Pvt Ltd,indsoft.org.in,"Indsoft Software Technologies Pvt Ltd provides future-ready software solutions for enterprises, enabling rapid scaling and responsiveness to change. They specialize in deploying applications for finance, accounting, procurement, supply chain, sales, distribution, and product availability. Leveraging breakthrough technologies and mobile applications, Indsoft helps clients transform their businesses by utilizing their data, with hundreds of installations across India and the Middle East in manufacturing, industrial, and retail sectors since 1999.",India,Medium-sized (50-249),"software solutions, enterprise applications, supply chain management, retail technology, cloud solutions, data utilization, mobile applications, business transformation, inventory management, manufacturing software"
90,Rynek 13 Sp. J.,rynek13.com.pl,"Rynek 13 is a professional, independent supplier of computer software for businesses, government, and educational institutions. They specialize in providing a wide range of software products, with expertise in licensing, technical consulting, implementation, and software management. The company is certified and authorized by leading software vendors like Microsoft, Adobe, and Sparx Systems.",Poland,Micro (0-9),"software supplier, business software, licensing, software consulting, software implementation, Microsoft partner, Adobe partner, Sparx Systems, educational software, government software"
91,Soft Mirror,softmirror.in,"Soft Mirror is a company focused on ""Reflecting Innovation in Software."" While specific services are not detailed, the name and tagline suggest a focus on software development, innovation, and potentially mirroring or enhancing existing software solutions. The company operates within the technology sector, aiming to bring new ideas and advancements to the software industry.",India,Micro (0-9),"software innovation, software development, technology, software solutions, tech company, innovation, software, digital transformation, tech, software engineering"
92,Future Labs Kft.,flabs.net,"Future Labs Kft. is a Hungarian company specializing in software development and IT services. They offer business management software like 'Hermesz Számlázó' and 'Hermes Pro', alongside cybersecurity solutions, hardware sales, website design, and custom software development. Their mission is to provide reliable and efficient tools to support the growth and digital operations of micro, small, and growing businesses.",Hungary,Micro (0-9),"software development, business software, accounting software, ERP system, cybersecurity, IT services, hardware sales, web design, custom software, SME solutions"
93,Ansoft softverski inženjering,ansoft.rs,"Ansoft is a software engineering company specializing in IT solutions for businesses, including accounting, retail, and restaurant management software. They also offer IT services such as computer sales, service, and technical support. Founded in 2000, Ansoft focuses on providing reliable and user-friendly software to small and medium-sized enterprises across various industries.",Serbia,Small (10-49),"software engineering, accounting software, retail software, restaurant software, business solutions, IT services, fiscal systems, SME solutions, software development, technical support"
94,Innuendo Software Technology GmbH,innuendo.de,"Innuendo Software Technology GmbH is a company that offers software technology solutions. The website welcomes visitors and encourages them to explore their offerings, suggesting they have a range of products or services available. The company operates within the software and technology sector.",Germany,Micro (0-9),"software technology, GmbH, technology solutions, software development, IT services, business software, enterprise solutions, German company, software products, tech industry"
95,SOLSoftware,solsoftware.pt,"SOLSoftware is a technology solutions provider specializing in custom software development and IT consulting. They leverage Microsoft technologies to create tailored solutions for businesses, particularly in the financial, health, and sports sectors. Their flagship product, netSiga, is an integrated asset management system designed for debt recovery and debt management companies.",Portugal,Micro (0-9),"software development, IT consulting, Microsoft technologies, custom software, asset management, debt recovery, financial software, health software, sports software, business solutions"
96,Milan Štěpanovský.Net - vývoj softwaru,stepanovsky.net,"Milan Štěpanovský.Net specializes in software development and creation, primarily on the JAVA platform. With over 20 years of experience, the company serves multinational corporations in the insurance, finance, and logistics sectors. Their services include web portal and application development for banks, insurance companies, and e-shops, encompassing software architecture, development, project documentation, and consultations for existing projects.",Czechia,Micro (0-9),"software development, JAVA, web portals, applications, insurance software, financial software, logistics software, software architecture, consulting, IT services"
97,CloudBM Ltd.,cloudbm.com,"CloudBM Web Solutions is a company specializing in cloud projects, with divisions focused on web projects and cloud software solutions. They develop custom ERP, business, and CMS systems, emphasizing tailored solutions for each client's specific workflow and needs. The company also offers web design, concept development, and programming services, aiming to automate processes and provide precise business intelligence instruments.",Bulgaria,Small (10-49),"cloud software, web development, ERP systems, custom software, CMS, business systems, web design, programming, BI instruments, e-commerce"
98,Ailo Sp. z o.o.,ailo.pl,"Ailo is a software house specializing in creating and maintaining SaaS solutions and custom software for businesses. They develop dedicated applications, business software, and web/mobile applications to enhance business efficiency. The company offers a full project lifecycle service, from initial consultation to final delivery, and can assemble teams of up to 20 developers, testers, and project managers.",Poland,Small (10-49),"software house, SaaS solutions, custom software, web applications, mobile applications, business software, software development, IT projects, software consulting, application development"
99,O FIRMIE,glinka.pl,"This company specializes in the production and development of innovative, proprietary IT systems for business operational management. Their core business is software development, with offerings tailored for sectors including transport, logistics, retail, manufacturing, banking, and digital media distribution. They also provide comprehensive IT support services such as network design, server and database implementation, and IT hardware consulting.",Poland,Small (10-49),"software development, IT systems, business management, transportation software, logistics software, retail software, manufacturing software, financial software, digital media, IT consulting"
100,Zysoft,zysoft.de,"Zysoft develops and sells computer applications tailored for self-employed individuals and small to medium-sized businesses. They specialize in precise customization, networking, and integration of application areas, with a particular focus on the medical and psychological sectors. The company aims to provide adaptable software solutions to meet specific user needs.",Germany,Micro (0-9),"software development, business applications, customization, medical software, psychological software, SME solutions, networking, multimedia integration, IT services, software sales"
