#,name,domain,summary,address,country,state,region,municipality,district,employee_class,organization_type,organization_size,company_register_date,company_register_court,nace_code,summary_keywords,lat,lon
51,MultiZone IT sp. z o.o.,multizoneit.pl,"MultiZone IT sp. z o.o. is a modern IT company specializing in the creation of dedicated software solutions, including innovative web, mobile, and business applications. They focus on understanding client needs to build high-quality, user-friendly applications, supporting businesses in their digital transformation. The company also develops e-commerce platforms and offers services for both domestic and international clients.",Darlowska 3 lok. 7 04-091 Warszawa  Poland,Poland,Mazowieckie,Warszawa,,Warszawa,0-10 employees,Company,Small (10-49),,,"NACE K: Telecommunication, computer programming, consulting, computing infrastructure and other information service activities","software development, web applications, mobile applications, business solutions, e-commerce, IT services, custom software, digital transformation, software engineering, technology solutions",52.23834,21.087475
52,Apical IT Solutions Ltd.,apicalsolutions.com,"Apical IT Solutions Ltd. is a bespoke software development company founded in 2005, with headquarters in London, UK, and operations in India. They specialize in creating scalable, complex, and intuitive web and mobile technology solutions designed for positive user experiences. Their services include bespoke development, product offerings, and consulting, catering to businesses of all sizes.",79 College Road HA1 1BD Harrow  United Kingdom,United Kingdom,England,Greater London,Greenhill,Harrow,0-10 employees,Company,Medium-sized (50-249),,,"NACE K: Telecommunication, computer programming, consulting, computing infrastructure and other information service activities","software development, bespoke software, web development, mobile development, technology solutions, digital transformation, IT consulting, enterprise solutions, product development, user experience",51.58003,-0.3377357
53,Courage Software Development (CSD),courage.co.in,"Courage Software Development (CSD) is a software development company founded by experienced professionals with a passion for creating software. They emphasize continuous learning and improvement through each project they undertake. The company focuses on delivering software development services, leveraging their diverse experience to meet client needs.",H. No: 4-26 500032 Hyderabad  India,India,Telangana,Ranga Reddy,,n.a. ( 1728),unknown,Company,Micro (0-9),,,"NACE K: Telecommunication, computer programming, consulting, computing infrastructure and other information service activities","software development, custom software, technology, programming, IT services, software engineering, development team, client solutions, tech company, innovation",17.437422,78.405785
54,Innovations Technology Inc,innovationstechnology.com,"Innovations Technology Inc. is an integrated software development and consulting company established in 2002. They specialize in providing information technology solutions for business systems, leveraging current technologies. The company offers services in software development and IT consulting.",4275 Wykeshire Ct 30041-5830 Cumming  United States,United States,,,,,0-10 employees,Company,Micro (0-9),,,"NACE K: Telecommunication, computer programming, consulting, computing infrastructure and other information service activities","software development, IT consulting, business systems, technology solutions, integrated services, information technology, company, consulting, development, solutions",,
55,Usi Software e Tecnologia,usisoft.com.br,"Usi Software e Tecnologia is a company specializing in software development and technology solutions. They offer a client call management system and develop modern systems for corporate management, focusing on the information management and infrastructure consulting segments. Their mission is to provide advanced technological solutions to meet market demands.",Rua Vera Lucia 158 Casa 3 31530-600 Belo Horizonte  Brazil,Brazil,,,,,unknown,Company,Micro (0-9),,,"NACE K: Telecommunication, computer programming, consulting, computing infrastructure and other information service activities","software development, technology solutions, call management system, corporate management, information management, infrastructure consulting, tech consulting, software, technology, business solutions",,
56,Kol3 SAS,kol3.co,"Kol3 SAS is a software solutions factory that specializes in designing and developing custom software products, mobile applications, and websites. They offer services such as dedicated development teams, technology selection assistance, software maintenance, and API REST integration. Their mission is to help businesses optimize and grow by providing tailored technology solutions that keep them ahead of the competition.",79 05 of 208 813.0 Bogota  Colombia,Colombia,,,,,unknown,Company,Micro (0-9),,,"NACE K: Telecommunication, computer programming, consulting, computing infrastructure and other information service activities","software development, mobile applications, web development, API integration, dedicated development team, technology consulting, software maintenance, custom software, product development, business solutions",,
57,泸州市龙马潭区龙驰科技有限公司,lzlckj.cn,"Luzhou Longmatan District Longchi Technology Co., Ltd. is a wholly-owned subsidiary of Longchi Group, established in December 2016. The company specializes in providing software and hardware solutions and services for government agencies and enterprises. Their business scope includes software development, data processing and storage, network technology promotion, electronic and intelligent engineering contracting, IT consulting, and computer sales.",,China,,,,,0-10 employees,Company,Small (10-49),,,"NACE K: Telecommunication, computer programming, consulting, computing infrastructure and other information service activities","software development, hardware solutions, IT consulting, intelligent engineering, data processing, network technology, government solutions, enterprise solutions, system integration, technology services",,
58,Intergrace Pty Ltd,intergrace.com.au,"Intergrace Pty Ltd is a software company that provides high-performance, scalable, and fault-tolerant enterprise application solutions. They specialize in development, integration, and support for industries such as finance, insurance, and telecommunications. The company focuses on deploying solutions on existing application servers, including free/open-source options, and works on projects of varying scales."," Se 12 L 3, 30 Atchison St 2065.0 St Leonards  Australia",Australia,Victoria,Greater Geelong,,,0-10 employees,Company,Small (10-49),,,"NACE K: Telecommunication, computer programming, consulting, computing infrastructure and other information service activities","software development, enterprise applications, IT solutions, integration services, scalability, fault tolerance, financial industry, telecommunications, agile development, software support",-38.181904,144.71146
59,iziTech,izitech.co.uk,"iziTech is a software development company that provides custom software solutions, expert consulting, and ongoing maintenance and support services. They specialize in building scalable and innovative software tailored to the specific needs of businesses of all sizes. The company emphasizes high-quality code, transparent communication, and exceptional post-launch customer support.",c/o Sg Accounting BH21 7SB Wimborne  United Kingdom,United Kingdom,,,,,unknown,Company,Small (10-49),,,"NACE K: Telecommunication, computer programming, consulting, computing infrastructure and other information service activities","software development, software consulting, custom software, technology strategy, software infrastructure, maintenance, support, scalability, innovation, business solutions",,
60,"LiST Interactive, Ltd.",listinteractive.net,"LiST Interactive, Ltd. is a boutique software developer that specializes in designing, building, and operating custom technology solutions for unique client organizations. They focus on addressing specific client needs with tailored software and operational support.",475 Speedwell Ave 07950-2149 Morris Plains  United States,United States,New Jersey,Morris,,,unknown,Company,Micro (0-9),,,"NACE K: Telecommunication, computer programming, consulting, computing infrastructure and other information service activities","software development, technology solutions, custom software, boutique developer, client-specific needs, operations, website builder, IT services",40.82507,-74.48007
61,In Pocket Solutions,teacheraidepro.com,"In Pocket Solutions is a company that appears to offer mobile applications, as indicated by the 'Apps' link on its website. The company's website provides basic navigation and copyright information, suggesting a focus on software development or app distribution. Further details about their specific services, mission, or market position are not readily available from the provided text.",475 Boul Talbot G7H 4A3 Chicoutimi  Canada,Canada,Québec,Le Fjord-du-Saguenay,,Chicoutimi,0-10 employees,Company,Micro (0-9),,,"NACE K: Telecommunication, computer programming, consulting, computing infrastructure and other information service activities","mobile applications, software development, app distribution, tech company, digital solutions, solutions provider",48.423813,-71.04198
62,"LiST Interactive, Ltd.",figtree.com,"LiST Interactive, Ltd. is a boutique software developer that specializes in designing, building, and operating custom technology solutions for unique client organizations. They focus on addressing specific client needs with tailored software and operational support.",101 Gibraltar Dr 07950-1287 Morris Plains  United States,United States,New Jersey,Morris,,,11-50 employees,Company,Micro (0-9),,,"NACE K: Telecommunication, computer programming, consulting, computing infrastructure and other information service activities","software development, technology solutions, custom software, boutique developer, client-specific needs, operations, website builder, IT services",40.85679,-74.48808
63,Datain Italia s.r.l.,datain.it,"Datain Italia s.r.l. is an IT company with over twenty years of experience in creating custom software applications using modern technologies. They specialize in developing reliable and innovative software solutions, offering cloud services, tech support, data security, and full-cycle software development. Their mission is to support clients long-term with expertise and continuity, ensuring solid and evolving business processes.",Via Cavour 3 22020 Colverde  Italy,Italy,Veneto,Vicenza,,Mason Vicentino,0-10 employees,Company,Small (10-49),,,"NACE K: Telecommunication, computer programming, consulting, computing infrastructure and other information service activities","software development, custom applications, cloud services, tech support, data security, IT consulting, software solutions, business process evolution, reliable software, innovative solutions",45.716312,11.637338
64,Datain Italia s.r.l.,datainitalia.it,"Datain Italia s.r.l. is an IT company with over twenty years of experience in creating custom software applications using modern technologies. They specialize in developing reliable and innovative software solutions, offering cloud services, tech support, data security, and full-cycle software development. Their mission is to support clients long-term with expertise and continuity, ensuring solid and evolving business processes.",Via Attilio Lenticchia 16 22100 Como  Italy,Italy,Lombardia,Como,,Como,unknown,Company,Small (10-49),,,"NACE K: Telecommunication, computer programming, consulting, computing infrastructure and other information service activities","software development, custom applications, cloud services, tech support, data security, IT consulting, software solutions, business process evolution, reliable software, innovative solutions",45.80003,9.093123
65,КодИТ,kodit.dev,"КодИТ is a custom software development company that provides a full cycle of IT solutions, from idea to launch. They specialize in web services, mobile applications, and desktop applications, acting as a technological partner for their clients. The company focuses on analysis, custom development, 24/7 support, and product evolution, aiming to deliver software that drives business growth and solves specific client needs.","Ul. generala rychagova d. 9, kv. 38 125183 Moscow  Russia",Russia,,,,,unknown,Company,Small (10-49),,,"NACE K: Telecommunication, computer programming, consulting, computing infrastructure and other information service activities","software development, web services, mobile applications, desktop applications, IT solutions, custom software, technological partner, product development, IT consulting, software engineering",,
66,UMBILHO DEVELOPMENTS,umbhilo.co.za,"Umbhilo Developments is an innovative software development company that offers custom software integration solutions, mobile development, responsive web development, data warehousing, ERP integrations, hosting solutions, and social media marketing. They aim to help businesses grow by leveraging technology to automate data collection, provide insights, and enhance digital presence. Their focus is on partnering with clients to deliver value-added solutions.",18 Andre St 2091.0 Johannesburg  South Africa,South Africa,Gauteng,City of Johannesburg,88,City of Johannesburg,unknown,Company,Micro (0-9),,,"NACE K: Telecommunication, computer programming, consulting, computing infrastructure and other information service activities","software development, custom software, mobile development, web development, data warehousing, ERP integration, hosting solutions, social media marketing, business growth, technology solutions",-26.177029,27.996714
67,Reliable Paradigm,reliableparadigm.com,"Reliable Paradigm is a boutique software and technology solutions provider that offers high-end technical development and consulting services. Their mission is to deliver unmatched quality technological results quickly to businesses and government organizations by challenging the status quo and thinking differently. They specialize in various software development platforms with a diverse team of developers, technologists, and testers.",704 Summit Lake Ct 37922-3156 Knoxville  United States,United States,,,,,0-10 employees,Company,Micro (0-9),,,"NACE K: Telecommunication, computer programming, consulting, computing infrastructure and other information service activities","software development, technology consulting, database tuning, optimization, technical solutions, boutique provider, government services, high-end development, software testing, technology services",,
68,Reivertech Limited,reivertech.co.uk,"Reivertech Limited is a software development and consulting company with over 25 years of expertise. They offer software development services and consulting, leveraging their extensive experience in the field. The company is registered in England and Wales.",8 Linnet Court NE66 2GD Alnwick  United Kingdom,United Kingdom,England,Northumberland,Alnwick,Northumberland,0-10 employees,Company,Micro (0-9),,,"NACE K: Telecommunication, computer programming, consulting, computing infrastructure and other information service activities","software development, consulting, IT services, technology, enterprise software, custom software, digital transformation, software solutions, technical expertise, business solutions",55.39719,-1.6920533
69,Softbyte Labs,softbytelabs.com,"Softbyte Labs is a software development company specializing in creating custom software solutions. They offer services such as web development, mobile app development, and cloud solutions, aiming to help businesses leverage technology for growth and efficiency. The company focuses on delivering high-quality, scalable, and innovative software tailored to client needs.",Tweelingenstraat 45 2018.0 Antwerpen  Belgium,Belgium,Vlaanderen,Antwerpen,Antwerpen,Antwerpen,unknown,Company,Small (10-49),,,"NACE K: Telecommunication, computer programming, consulting, computing infrastructure and other information service activities","software development, custom software, web development, mobile app development, cloud solutions, technology, innovation, business solutions, software engineering, IT services",51.20803,4.434976
70,Codecraft,codecraft.co.jp,"Codecraft is a software development company with decades of experience in system development. They specialize in creating sophisticated technology and providing deep insights to address unique business challenges, aiming to reflect customer needs accurately into their systems. Their mission is to achieve customer success by continuously creating optimal solutions.","1-37 Asama Honcho, Fuji-shi, Shizuoka  Fuji  Japan",Japan,Shizuoka,Oyama,,,11-50 employees,Company,Small (10-49),,,"NACE K: Telecommunication, computer programming, consulting, computing infrastructure and other information service activities","software development, system development, technology solutions, business challenges, customer success, optimal solutions, software engineering, custom software, IT consulting, system integration",35.371475,138.93164
71,Ajit,ajit.dk,"Ajit develops professional software for durable solutions across various domains. They collaborate with businesses of all sizes on projects, leveraging 26 years of experience with both established and cutting-edge technologies. The company focuses on creating robust and lasting software.",Allinggardsvej 97 8600.0 Silkeborg  Denmark,Denmark,Midtjylland,Silkeborg,,,unknown,Company,Micro (0-9),,,"NACE K: Telecommunication, computer programming, consulting, computing infrastructure and other information service activities","software development, professional software, durable solutions, technology, consulting, project management, experienced developer, national solutions, international solutions, software engineering",56.231518,9.662032
72,Bivio,bivio.biz,"Bivio is a technology partner specializing in new application development and legacy system integration, offering comprehensive technology solutions from conception to ongoing operations. Since 1998, they have focused on delivering innovative technology and out-of-the-box thinking to delight clients and their users. They operate with a unique satisfaction-based payment guarantee, ensuring clients only pay if they are satisfied with the services provided.",3945 Freedom Cir 95054-1269 Santa Clara  United States,United States,California,Santa Clara,,,0-10 employees,Company,Micro (0-9),,,"NACE K: Telecommunication, computer programming, consulting, computing infrastructure and other information service activities","technology solutions, application development, legacy integration, technology partner, software development, devops, infrastructure, user satisfaction, tech consulting, custom software",37.39466,-121.94618
73,IT Creator,it-creator.rs,"IT Creator is a technology services company founded in 2014 in Belgrade, Serbia, specializing in the development of innovative software solutions. They focus on optimizing business processes, enhancing performance, and maximizing IT investment returns for clients across various industries. The company offers integrated solutions, including data analytics, mobility, and digital technology, with a commitment to long-term partnerships and continuous innovation.",Milesevska 36A/2/9 11000 Beograd (Vracar)  Serbia,Serbia,Grad Beograd,Palilula,,,0-10 employees,Company,Small (10-49),,,"NACE K: Telecommunication, computer programming, consulting, computing infrastructure and other information service activities","software development, IT solutions, business process optimization, data analytics, digital technology, mobile applications, web applications, cloud technology, telecommunications, call center solutions",44.80134,20.475899
74,EachLab Ltd,eachlab.co.uk,"EachLab Ltd is a software development company based in Cambridge, UK, specializing in bespoke website development, cloud-native web and enterprise systems, and mobile applications. They also produce and publish their own web and mobile applications, offering examples through app store links. The company aims to provide tailored software solutions to its clients.",10a Abbey Street CB1 2QP Cambridge  United Kingdom,United Kingdom,England,Cambridgeshire,Abbey,Cambridge,unknown,Company,Micro (0-9),,,"NACE K: Telecommunication, computer programming, consulting, computing infrastructure and other information service activities","software development, web development, mobile applications, enterprise systems, cloud-native, bespoke software, app development, UK, Cambridge, technology solutions",52.20795,0.1393987
75,Probis Solutions Oy,probissolutions.fi,"Probis Solutions Oy is a software development partner that helps businesses turn ideas into functional software solutions. They offer comprehensive services including software design and implementation, catering to both large information systems and lighter software applications. The company emphasizes a collaborative approach, treating client projects with dedication and ambition to achieve successful outcomes.",Yliopistonkatu 36 40100 Jyvaskyla  Finland,Finland,Western Finland,Central Finland,Jyväskylä,Jyväskylä,11-50 employees,Company,Small (10-49),,,"NACE K: Telecommunication, computer programming, consulting, computing infrastructure and other information service activities","software development, custom software, IT solutions, software engineering, digital transformation, application development, system integration, project management, tech partner, business solutions",62.244267,25.748144
76,Probis Solutions Oy,probis.fi,"Probis Solutions Oy is a software development partner that helps businesses turn ideas into functional software solutions. They offer comprehensive services including software design and implementation, catering to both large information systems and lighter software applications. The company emphasizes a collaborative approach, treating client projects with dedication and ambition to achieve successful outcomes.",Hatanpaan valtatie 13 33100.0 Tampere  Finland,Finland,Western Finland,Pirkanmaa,Tampere,Tampere,unknown,Company,Small (10-49),,,"NACE K: Telecommunication, computer programming, consulting, computing infrastructure and other information service activities","software development, custom software, IT solutions, software engineering, digital transformation, application development, system integration, project management, tech partner, business solutions",61.49108,23.77075
77,Codesquad Devs PLT,codesquad.com.my,"Codesquad is a software development company based in Malaysia that specializes in creating imaginative, innovative, and vibrant application solutions. They offer a full spectrum of services including backend development, frontend development, mobile app development, and cloud solution architecture. Their mission is to bring applications to life by transforming ideas into captivating and intuitive user experiences across various platforms.","No. 49, 1st Floor, Lorong 4f1 93350 Kuching, Sarawak  Malaysia",Malaysia,,,,,unknown,Company,Small (10-49),,,"NACE K: Telecommunication, computer programming, consulting, computing infrastructure and other information service activities","software development, application development, backend development, frontend development, mobile app development, cloud solutions, UI/UX design, API integration, AWS, innovative solutions",,
78,Seaprone GmbH,seaprone.ch,"Seaprone is a software company that develops standard and custom solutions for businesses and individuals. They aim to improve lives through technology and positive social change, creating products that integrate seamlessly into daily activities. Their services include turnkey solutions, enterprise integration, modernization of legacy systems, service automation, expert training, and custom business solutions, all designed to enable sustainable growth through technology and agility.",Platz 4 6039.0 Root D4  Switzerland,Switzerland,Lucerne,Luzern,,Dierikon,0-10 employees,Company,Micro (0-9),,,"NACE K: Telecommunication, computer programming, consulting, computing infrastructure and other information service activities","software development, custom solutions, enterprise integration, system modernization, service automation, expert training, agile development, technology solutions, business growth, IT services",47.103638,8.374658
79,DevInMotion,devinmotion.co,"DevInMotion is a technology and services provider offering scalable solutions for businesses of all sizes. They specialize in software development, creating high-quality products, and providing consulting services in areas like system architecture, continuous integration, and technology evaluation. Their mission is to align business goals with technological solutions, fostering growth and efficiency for their clients.",69 B 73  Bogota  Colombia,Colombia,Bogotá D.C.,Bogotá D.C.,,,unknown,Company,Medium-sized (50-249),,,"NACE K: Telecommunication, computer programming, consulting, computing infrastructure and other information service activities","software development, technology solutions, consulting, scalability, agile methodologies, custom development, B2B products, B2C products, ERP, integration",4.6842384,-74.08776
80,Apontech,apontech.com,"Apontech is a software development company that positions itself as a business partner, offering expertise and services across the enterprise. They specialize in professional software development services, including web development, and aim to provide solutions for businesses seeking technological assistance. The company emphasizes its role in delivering comprehensive enterprise solutions.",16905 Korat Ln 78681-3863 Austin  United States,United States,,,,,0-10 employees,Company,Small (10-49),,,"NACE K: Telecommunication, computer programming, consulting, computing infrastructure and other information service activities","software development, web development, enterprise solutions, technology services, business partner, IT consulting, custom software, software engineering, digital transformation, tech company",,
81,Millvale Limited,millvale.net,"Millvale Limited is a software solutions provider specializing in high-end, cutting-edge technologies. They offer comprehensive solutions in client/server, desktop, and web-based applications. The company aims to be a global leader by delivering state-of-the-art software and services, with a focus on understanding client business needs to provide highly customized solutions.",22 Camlough Road BT35 6JP Newry  United Kingdom,United Kingdom,Northern Ireland,"Newry, Mourne and Down",Camlough,Newry and Mourne,11-50 employees,Company,Small (10-49),,,"NACE K: Telecommunication, computer programming, consulting, computing infrastructure and other information service activities","Software Solutions, Cutting-edge Technologies, Client/Server, Desktop Applications, Web Applications, Customized Solutions, Software Development, IT Services, Technology Provider, Global Leader",54.182594,-6.4020524
82,Code Sharp,codesharp.nl,"Code Sharp is a software solutions provider specializing in fast, secure, and scalable software development. They focus on understanding client business needs to deliver innovative solutions that drive efficiency and growth. The company offers software development, continuous innovation through testing and feedback, and dedicated support to ensure optimal performance.",Veemarktkade 8 5222 AE 'S-Hertogenbosch  Netherlands,Netherlands,Noord-Brabant,'s-Hertogenbosch,,,0-10 employees,Company,Small (10-49),,,"NACE K: Telecommunication, computer programming, consulting, computing infrastructure and other information service activities","software development, scalable solutions, secure software, innovation, digital transformation, consulting, software enhancement, client support, technology integration, business efficiency",51.70193,5.284834
83,ASTIRET,astiret.com,ASTIRET is a company specializing in software development and web application creation. They offer proprietary products as well as custom-built solutions tailored to client needs. Their services cater to businesses looking for specialized software and web development expertise.,Starorimska 1371/4 85110 Bratislava-Rusovce  Slovakia,Slovakia,Bratislavský,Bratislava V,,,unknown,Company,Micro (0-9),,,"NACE K: Telecommunication, computer programming, consulting, computing infrastructure and other information service activities","software development, web applications, custom solutions, IT services, web development, software products, business solutions, technology, online services, application development",48.0426,17.157288
84,Eve Infotec,eveinfotec.in,"Eve Infotec offers innovative software solutions, as indicated by its tagline. The company appears to be involved in the technology sector, providing software development or related services. Further details about specific products, services, or its mission are not provided on the website.",No: 15 Varadharaja Perumal Nagar 600048 Kanchipuram  India,India,,,,,unknown,Company,Micro (0-9),,,"NACE K: Telecommunication, computer programming, consulting, computing infrastructure and other information service activities","software solutions, innovative technology, software development, IT services, tech company",,
85,Yellowtwig BV,yellowtwig.nl,"Yellowtwig BV is an IT company focused on simplifying complex software development for businesses. Their mission is to establish IT as a reliable partner by emphasizing mutual understanding and delivering on promises. They avoid quick wins and 'hit and run' projects, preferring to ensure software is well-implemented and used effectively, even if it means not always doing exactly what is asked.",Kolbergstraat 19 8232 RM Lelystad  Netherlands,Netherlands,Flevoland,Lelystad,,,0-10 employees,Company,Micro (0-9),,,"NACE K: Telecommunication, computer programming, consulting, computing infrastructure and other information service activities","software development, IT consulting, business solutions, complex software, reliable IT partner, implementation, custom software, technology, IT services, business understanding",52.51183,5.4692106
86,Treksoft Robert Jaros,treksoft.pl,"Treksoft is an IT solutions provider specializing in the design, creation, and development of software using the latest technological advancements. They focus on understanding client needs and actively collaborate throughout the analysis, requirements gathering, and implementation phases. The company emphasizes high productivity through evolutionary prototyping and agile methodologies, with extensive experience in complex systems and solving non-trivial technical challenges.",Wladyslawa Reymonta 5 93-491 Lodz  Poland,Poland,Łódzkie,Łódź,,Łódź,0-10 employees,Company,Micro (0-9),,,"NACE K: Telecommunication, computer programming, consulting, computing infrastructure and other information service activities","software development, IT solutions, custom software, agile methodologies, prototyping, complex systems, technical consulting, software engineering, client collaboration, technology solutions",51.742603,19.463383
87,4Loop Ltd,4loop.co.uk,"4Loop Ltd is a software engineering company specializing in the creation of robust and scalable solutions for web, mobile, and desktop applications. They offer end-to-end development services, guiding clients from initial concept and strategy through deployment and ongoing support. Their expertise lies in building custom software to meet diverse client needs.",W8A Knoll Business Centre BN3 7GS Hove  United Kingdom,United Kingdom,England,Brighton and Hove,Hangleton and Knoll,Brighton and Hove,0-10 employees,Company,Micro (0-9),,,"NACE K: Telecommunication, computer programming, consulting, computing infrastructure and other information service activities","software engineering, web development, mobile development, desktop applications, scalable solutions, full lifecycle development, custom software, IT services, technology solutions, software development",50.838936,-0.2008174
88,CDS,codedialog.com,"CDS is a company that specializes in providing innovative technical business solutions, application development, and product development. They combine business and design services with deep technical proficiency to create compelling customer experiences across the entire software lifecycle. Their mission is to deliver world-class solutions and products by understanding rapidly changing requirements and fulfilling commitments.",Flat No. 403 500045.0   India,India,Maharashtra,Mumbai Suburban,,n.a. ( 1557),unknown,Company,Small (10-49),,,"NACE K: Telecommunication, computer programming, consulting, computing infrastructure and other information service activities","software solutions, application development, product development, technical consulting, customer experience, business solutions, design services, software lifecycle, innovation, quality",19.14725,72.8311
89,Mattafix,mattafix.net,"Mattafix is a software development company specializing in full-cycle web and mobile application development, from prototyping and design to implementation, support, and maintenance. They focus on creating custom solutions that help clients stand out in the market and position them at the forefront of technology. Based in Pretoria, Mattafix serves clients across South Africa and internationally.",289 Stokkiesdraai St 165.0 Pretoria  South Africa,South Africa,Gauteng,City of Tshwane,42,City of Tshwane,unknown,Company,Small (10-49),,,"NACE K: Telecommunication, computer programming, consulting, computing infrastructure and other information service activities","software development, web application development, mobile application development, custom software, prototyping, design, implementation, support, maintenance, technology solutions",-25.810696,28.25577
90,DevPipeline,devpipeline.com,"DevPipeline is an insourced software development partner that helps businesses streamline processes, automate tasks, and reduce overhead by building custom software solutions. They offer services in workflow and data management, integrations, cross-platform apps, e-commerce, and custom CRMs. DevPipeline also focuses on transforming existing employees into skilled software developers, fostering internal talent and providing greater control over software development.",,United States,Utah,Utah,,,unknown,Company,Small (10-49),,,"NACE K: Telecommunication, computer programming, consulting, computing infrastructure and other information service activities","software development, insourced development, custom software, automation, workflow management, data management, app development, talent development, business solutions, software partnership",40.311226,-111.683495
91,Pinnacle,pinnaclevl.com,"Pinnacle is a software development and consulting firm based in Scotland, founded in 2012. They specialize in engineering innovative and ingeniously simple software solutions to address business, design, and technological challenges. The company offers custom-designed software, consultancy services like feasibility studies and legacy system reviews, and bespoke development for commercialization or internal systems. Pinnacle emphasizes an agile, collaborative approach, involving clients throughout the development process to deliver cost-effective and time-saving solutions across all industries.",701 Rose Dr 48103-2102 Ann Arbor  United States,United States,Michigan,Washtenaw,,,11-50 employees,Company,Small (10-49),,,"NACE K: Telecommunication, computer programming, consulting, computing infrastructure and other information service activities","software development, consulting, innovative solutions, digital transformation, bespoke software, agile development, business solutions, technology consulting, product development, user experience",42.228058,-83.73938
92,Envisage Software (Pty) Ltd,envisagesoftware.co.za,"Envisage Software (Pty) Ltd appears to be a software development company offering solutions, functionality, and benefits to its clients. The website provides basic navigation to sections like 'About us', 'Solutions', 'Functionality', 'Benefits', and 'Contact'. The copyright notice suggests it is an active entity.",14 Sangiro Rd 7500.0 Parow  South Africa,South Africa,,,,,unknown,Company,Micro (0-9),,,"NACE K: Telecommunication, computer programming, consulting, computing infrastructure and other information service activities","software development, solutions, technology, business solutions, software company, functionality, benefits, consulting, IT services, software",,
93,Apptekz,apptekz.com,Apptekz appears to be a technology company focused on providing software development and IT consulting services. The website indicates a focus on creating custom applications and solutions for businesses. It aims to leverage technology to help clients achieve their goals.,421 N Bay St 32726-3436 Eustis  United States,United States,Florida,Volusia,,,unknown,Company,Small (10-49),,,"NACE K: Telecommunication, computer programming, consulting, computing infrastructure and other information service activities","software development, IT consulting, custom applications, technology solutions, app development, web development, mobile development, digital transformation, tech services, business solutions",29.036535,-81.300545
94,Swift-Soft,swift-soft.ru,"Swift-Soft is a technology company specializing in the design and development of reliable software solutions for businesses and operators. They offer services including frontend and backend development, mobile applications, and custom system development. The company emphasizes using modern technologies, innovative approaches, and providing end-to-end support to ensure high-quality, tailored solutions for their clients.","Ul. 3-ya yamskogo polya d. 2, k. 26, kom. 33 125124 Moscow  Russia",Russia,,,,,11-50 employees,Company,Small (10-49),,,"NACE K: Telecommunication, computer programming, consulting, computing infrastructure and other information service activities","software development, custom solutions, mobile applications, frontend development, backend development, business technology, IT services, software engineering, system integration, technical support",,
95,BiGanSoft,bigansoft.pl,"BiGanSoft is an IT company specializing in software development and IT solutions. They focus on translating client needs into code, offering services such as custom project development, rapid implementation, and ongoing support. The company emphasizes partnership with clients, speed, reliability, and a passionate approach to technology.",Zielone Laki 12 lok. 1 05-220 Zielonka  Poland,Poland,Mazowieckie,Wołomin,,Zielonka,unknown,Company,Micro (0-9),,,"NACE K: Telecommunication, computer programming, consulting, computing infrastructure and other information service activities","software development, IT solutions, custom software, system integration, IT consulting, application development, client partnership, technical support, project management, new technologies",52.31496,21.171965
96,Khwarezmi,khwarezmi.nl,"Khwarezmi is a software development company that creates clean, reliable software solutions. They offer services including building applications from scratch, integrating experienced developers into existing teams, and providing consulting on software development processes. Their approach emphasizes understanding both technical details and the broader project context to deliver scalable and maintainable solutions.",Plantboorstraat 3 1445 RZ Purmerend  Netherlands,Netherlands,Noord-Holland,Purmerend,,,0-10 employees,Company,Micro (0-9),,,"NACE K: Telecommunication, computer programming, consulting, computing infrastructure and other information service activities","software development, application development, team integration, process consulting, scalable solutions, maintainable code, software engineering, custom software, IT consulting, workflow optimization",52.50717,4.979876
97,"TwistResources, Inc.",twistresources.com,"TwistResources specializes in transforming ideas into high-performance digital solutions, including web and mobile applications. They leverage their ToolTwist development platform for rigorous testing and optimization, aiming to deliver complex logic and mission-critical applications on time and within budget. The company positions itself as a provider of serious solutions for serious organizations.",Office Ctr 07 An and K Berthaphil Clark Ctr Jose Abad Santos Ave Clark Freeport Zone Clark 2009 Angeles  Philippines,Philippines,Pampanga,Mabalacat,,Macapagal Village,unknown,Company,Medium-sized (50-249),,,"NACE K: Telecommunication, computer programming, consulting, computing infrastructure and other information service activities","digital solutions, web applications, mobile applications, software development, application development, testing, optimization, mission critical applications, development platform, IT services",15.180351,120.51193
98,Inputronics,inputronics.com.sg,"Inputronics is a customized solutions provider offering full-service support and software development tailored to meet specific customer requirements. The company focuses on delivering reliable products and services to address diverse organizational needs, aiming to contribute to business success through its offerings.",E-Centre @ Redhill 159471 Singapore  Singapore,Singapore,Central,,,,unknown,Company,Micro (0-9),,,"NACE K: Telecommunication, computer programming, consulting, computing infrastructure and other information service activities","software development, customized solutions, business support, IT services, product development, customer requirements, organizational needs, tech solutions, service provider, business success",1.27661,103.841156
99,Glacier Infotech,glacierinfotech.com,"Glacier Infotech is a software development firm offering a comprehensive range of IT solutions including software, database, web solutions, and system integration. They aim to provide competitive advantages to businesses, government entities, schools, and hospitals through information technology. Their services cater to diverse client needs across various sectors.",2225 W Toledo Pl 90631-5079 La Habra  United States,United States,California,Orange,,,0-10 employees,Company,Small (10-49),,,"NACE K: Telecommunication, computer programming, consulting, computing infrastructure and other information service activities","Software Development, Database Development, Web Solutions, System Integration, IT Services, Information Technology, Business Solutions, Enterprise Solutions, Technology Consulting, Software Firm",33.92888,-117.97056
